"","subject","sentence","sentence_id","animacy","number","definiteness","tense","aspect","sentence.length","modal","be.have","response"
"903","tire","The tire went flat.",2116,"inanimate","singular","definite","past","simple",2,"no","no","non.generic"
"904","car","Cars always break down.",2117,"inanimate","plural","indefinite","present","simple",3,"no","no","generic"
"905","rabbit","The rabbits nibbled carrots.",2118,"animate","plural","definite","past","simple",2,"no","no","non.generic"
"906","cow","The cows mood in the field.",2121,"animate","plural","definite","past","simple",4,"no","no","non.generic"
"907","fence","The fence fell down in the storm.",2122,"inanimate","singular","definite","past","simple",5,"no","no","non.generic"
"908","clock","Clocks tell us the time.",2123,"inanimate","plural","indefinite","present","simple",4,"no","no","generic"
"909","light bulb","A light bulb turned on.",2124,"inanimate","singular","indefinite","past","simple",2,"no","no","non.generic"
"910","cheetah","A cheetah can outrun all other animals.",2126,"animate","singular","indefinite","present","simple",5,"yes","no","non.generic"
"911","computer","A computer is used to communicate.",2131,"inanimate","singular","indefinite","present","simple",4,"no","no","generic"
"912","clock","The clock was set for 9AM sharp.",2136,"inanimate","singular","definite","past","simple",5,"no","no","non.generic"
"913","skunk","A skunk excretes a terrible odor.",2139,"animate","singular","indefinite","present","simple",4,"no","no","generic"
"914","cat","Cats raom the neighborhood at night.",2141,"animate","plural","indefinite","present","simple",5,"no","no","non.generic"
"915","cow","Cows go MOO!",2150,"animate","plural","indefinite","present","simple",2,"no","no","generic"
"916","penguin","The penguin mates for life.",2151,"animate","singular","definite","present","simple",3,"no","no","generic"
"917","fox","The fox jumped over the lazy dog,",2160,"animate","singular","definite","past","simple",5,"no","no","non.generic"
"918","couch","Couches were meant for comfort.",2166,"inanimate","plural","indefinite","past","simple",4,"no","no","generic"
"919","bed","The bed was shipped as requested.",2172,"inanimate","singular","definite","past","simple",4,"no","no","non.generic"
"920","piano","A piano was tuned before the show.",2173,"inanimate","singular","indefinite","past","simple",5,"no","no","non.generic"
"921","clock","Clocks tell the time.",2175,"inanimate","plural","indefinite","present","simple",3,"no","no","generic"
"922","shirt","A shirt was purchased as a gift.",2176,"inanimate","singular","indefinite","past","simple",5,"no","no","non.generic"
"923","peacock","The peacocks strutted around the yard",2177,"animate","plural","definite","past","simple",4,"no","no","non.generic"
"924","television","The television entertained the children.",2179,"inanimate","singular","definite","past","simple",3,"no","no","non.generic"
"925","shark","The shark circled the seal.",2180,"animate","singular","definite","past","simple",3,"no","no","non.generic"
"926","cow","Cows ate their cud.",2181,"animate","plural","indefinite","past","simple",3,"no","no","non.generic"
"927","cheetah","Cheetahs can run fast.",2182,"animate","plural","indefinite","present","simple",3,"yes","no","generic"
"928","kite","A kite was seen in the sky.",2183,"inanimate","singular","indefinite","past","simple",5,"no","no","non.generic"
"929","lamp","The lamps lit the room.",2184,"inanimate","plural","definite","past","simple",3,"no","no","non.generic"
"930","towel","The towels were folded.",2187,"inanimate","plural","definite","past","simple",2,"no","no","non.generic"
"931","rabbit","Rabbits ate all my carrots",2189,"animate","plural","indefinite","past","simple",4,"no","no","non.generic"
"932","dog","The dog chased the car.",2191,"animate","singular","definite","past","simple",3,"no","no","non.generic"
"933","penguin","Penguins waddle.",2192,"animate","plural","indefinite","present","simple",1,"no","no","generic"
"934","elephant","An elephant watched as we drove by.",2193,"animate","singular","indefinite","past","simple",5,"no","no","non.generic"
"935","lion","The lions guarded the kill.",2194,"animate","plural","definite","past","simple",3,"no","no","non.generic"
"936","fence","The fence fell down due to disrepair.",2196,"inanimate","singular","definite","past","simple",5,"no","no","non.generic"
"937","butterfly","The butterflies bounced between the flowers.",2197,"animate","plural","definite","past","simple",4,"no","no","non.generic"
"938","cat","The cat played with the mouse.",2198,"animate","singular","definite","past","simple",4,"no","no","non.generic"
"939","fox","The fox was chased by the hound.",2200,"animate","singular","definite","past","simple",5,"no","no","non.generic"
"940","bear","Bears sleep in caves.",2201,"animate","plural","indefinite","present","simple",3,"no","no","generic"
"941","panda","A panda ate bamboo.",2204,"animate","singular","indefinite","past","simple",2,"no","no","non.generic"
"942","chair","A chair was provided.",2207,"inanimate","singular","indefinite","past","simple",2,"no","no","non.generic"
"943","computer","Computers run the world.",2209,"inanimate","plural","indefinite","present","simple",3,"no","no","generic"
"944","pig","A pig rutted in the mud happily.",2210,"animate","singular","indefinite","past","simple",5,"no","no","non.generic"
"945","owl","An owl hooted at night",2212,"animate","singular","indefinite","past","simple",3,"no","no","non.generic"
"946","camel","The camel ignored the water.",2213,"animate","singular","definite","past","simple",3,"no","no","non.generic"
"947","boat","Boats float on water.",2215,"inanimate","plural","indefinite","present","simple",3,"no","no","generic"
"948","skunk","The skunks ambled off towards the bushes.",2216,"animate","plural","definite","past","simple",5,"no","no","non.generic"
"949","pigeon","A pigeon just flew overhead.",2220,"animate","singular","indefinite","past","simple",3,"no","no","non.generic"
"950","rabbit","A rabbit lives in my carrot patch.",2221,"animate","singular","indefinite","present","simple",5,"no","no","non.generic"
"951","trumpet","Trumpets can make beautiful music.",2226,"inanimate","plural","indefinite","present","simple",4,"yes","no","generic"
"952","dolphin","Dolphins are smarted than humans.",2227,"animate","plural","indefinite","present","simple",4,"no","no","generic"
"953","zipper","Zippers sometimes get stuck.",2233,"inanimate","plural","indefinite","present","simple",3,"no","no","generic"
"954","kite","A kite can fly very high.",2235,"inanimate","singular","indefinite","present","simple",4,"yes","no","generic"
"955","peacock","Peacocks spread their colorful tail feathers.",2237,"animate","plural","indefinite","past","simple",5,"no","no","generic"
"956","marble","The marbles fell out of my bag.",2238,"inanimate","plural","definite","past","simple",5,"no","no","non.generic"
"957","shirt","Shirts can be very colorful.",2247,"inanimate","plural","indefinite","present","simple",4,"yes","no","generic"
"958","football","Footballs are made from pig skins.",2250,"inanimate","plural","indefinite","present","simple",5,"no","no","generic"
"959","turtle","The turtle moves very slowly.",2254,"animate","singular","definite","present","simple",3,"no","no","generic"
"960","camel","Camels don't drink much water.",2256,"animate","plural","indefinite","present","simple",4,"no","no","generic"
"961","shark","Sharks sleep with their eyes open.",2258,"animate","plural","indefinite","present","simple",5,"no","no","generic"
"962","squirrel","The squirrels live in the tree.",2259,"animate","plural","definite","present","simple",4,"no","no","non.generic"
"963","gorilla","A gorilla lives in the zoo.",2263,"animate","singular","indefinite","present","simple",4,"no","no","non.generic"
"964","peacock","The peacock strutted around in the pen.",2264,"animate","singular","definite","past","simple",5,"no","no","non.generic"
"965","elephant","The elephants did some tricks.",2268,"animate","plural","definite","past","simple",3,"no","no","non.generic"
"966","shirt","Shirts need to be ironed.",2269,"inanimate","plural","indefinite","present","simple",4,"no","no","generic"
"967","kangaroo","A kangaroo hopped across the field.",2271,"animate","singular","indefinite","past","simple",4,"no","no","non.generic"
"968","light bulb","A light bulb just went out.",2279,"inanimate","singular","indefinite","past","simple",3,"no","no","non.generic"
"969","pigeon","The pigeon flew to the rooftop.",2280,"animate","singular","definite","past","simple",4,"no","no","non.generic"
"970","camel","The camels crossed the desert.",2282,"animate","plural","definite","past","simple",3,"no","no","non.generic"
"971","trumpet","Trumpets played the mournful tune.",2285,"inanimate","plural","indefinite","past","simple",4,"no","no","non.generic"
"972","knife","The knife needed to be sharpened.",2288,"inanimate","singular","definite","past","simple",4,"no","no","non.generic"
"973","marble","The marbles rolled all over the floor.",2289,"inanimate","plural","definite","past","simple",5,"no","no","non.generic"
"974","computer","The computer just stopped working.",2290,"inanimate","singular","definite","past","simple",3,"no","no","non.generic"
"975","lamp","Lamps come in many different styles.",2292,"inanimate","plural","indefinite","present","simple",5,"no","no","generic"
"976","tire","The tire needed some air.",2293,"inanimate","singular","definite","past","simple",3,"no","no","non.generic"
"977","skunk","The skunk sprayed my dog!",2296,"animate","singular","definite","past","simple",3,"no","no","non.generic"
"978","lion","The lions looked majestic on the mountaintop.",2298,"animate","plural","definite","past","simple",5,"no","no","non.generic"
"979","boat","A boat was moored beside the dock.",2300,"inanimate","singular","indefinite","past","simple",5,"no","no","non.generic"
"980","toilet","The toilet was clogged.",2304,"inanimate","singular","definite","past","simple",2,"no","no","non.generic"
"981","squirrel","The squirrel buried the nut.",2307,"animate","singular","definite","past","simple",3,"no","no","generic"
"982","panda","The pandas like to eat bamboo.",2308,"animate","plural","definite","present","simple",4,"no","no","non.generic"
"983","squirrel","Squirrels chirped and jumped between trees.",2312,"animate","plural","indefinite","past","simple",5,"no","no","non.generic"
"984","butterfly","A butterfly flew from flower to flower.",2314,"animate","singular","indefinite","past","simple",5,"no","no","non.generic"
"985","kangaroo","Kangaroos hopped across the field.",2323,"animate","plural","indefinite","past","simple",4,"no","no","non.generic"
"986","owl","The owl hooted in the moonlight.",2327,"animate","singular","definite","past","simple",4,"no","no","non.generic"
"987","kite","A kite flew high in the sky.",2332,"inanimate","singular","indefinite","past","simple",5,"no","no","non.generic"
"988","camel","The camel plodded across the desert.",2340,"animate","singular","definite","past","simple",4,"no","no","non.generic"
"989","car","The cars roared around the track.",2341,"inanimate","plural","definite","past","simple",4,"no","no","non.generic"
"990","rabbit","Rabbits hoped all around the garden.",2355,"animate","plural","indefinite","past","simple",5,"no","no","non.generic"
"991","shirt","Shirts were stacked on the counter.",2358,"inanimate","plural","indefinite","past","simple",5,"no","no","non.generic"
"992","trumpet","The trumpets sounded fantastic.",2365,"inanimate","plural","definite","past","simple",2,"no","no","non.generic"
"993","kangaroo","The kangaroos like to jump.",2366,"animate","plural","definite","present","simple",3,"no","no","non.generic"
"994","computer","A computer makes work more efficient.",2368,"inanimate","singular","indefinite","present","simple",4,"no","no","generic"
"995","boat","The boats almost crashed into the jetty.",2376,"inanimate","plural","definite","past","simple",5,"no","no","non.generic"
"996","bed","Beds are made for sleeping on.",2384,"inanimate","plural","indefinite","present","simple",5,"no","no","generic"
"997","light bulb","The light bulb does not work.",2388,"inanimate","singular","definite","present","simple",3,"no","no","non.generic"
"998","cow","The cow chews his cud.",2392,"animate","singular","definite","present","simple",3,"no","no","non.generic"
"999","pig","The pigs do truly stink.",2393,"animate","plural","definite","present","simple",3,"no","no","non.generic"
"1000","penguin","A penguin likes cold weather.",2395,"animate","singular","indefinite","present","simple",3,"no","no","non.generic"
"1001","marble","A marble rolls across the table.",2397,"inanimate","singular","indefinite","present","simple",4,"no","no","non.generic"
"1002","panda","The panda likes to eat eucalyptus.",2398,"animate","singular","definite","present","simple",4,"no","no","generic"
"1003","squirrel","The squirrel jumped from tree to tree.",2402,"animate","singular","definite","past","simple",5,"no","no","non.generic"
"1004","kangaroo","Kangaroos like to jump.",2406,"animate","plural","indefinite","present","simple",3,"no","no","generic"
"1005","cow","The cows give milk.",2407,"animate","plural","definite","present","simple",2,"no","no","generic"
"1006","toilet","Toilets flush loudly.",2415,"inanimate","plural","indefinite","present","simple",2,"no","no","generic"
"1007","clock","The clock ticked.",2427,"inanimate","singular","definite","past","simple",1,"no","no","non.generic"
"1008","lion","The lion roared loudly.",2429,"animate","singular","definite","past","simple",2,"no","no","non.generic"
"1009","skunk","The skunks stinks.",2430,"animate","plural","definite","present","simple",1,"no","no","generic"
"1010","bicycle","A bicycle doesn't cost much.",2431,"inanimate","singular","indefinite","present","simple",3,"no","no","generic"
"1011","shark","The shark attacked.",2435,"animate","singular","definite","past","simple",1,"no","no","non.generic"
"1012","shirt","A shirt should be worn with pants.",2441,"inanimate","singular","indefinite","present","simple",5,"yes","no","generic"
"1013","dog","The dog was trained.",2445,"animate","singular","definite","past","simple",2,"no","no","non.generic"
"1014","owl","The owls hooted.",2446,"animate","plural","definite","past","simple",1,"no","no","generic"
"1015","zipper","The zippers got stuck. ",2450,"inanimate","plural","definite","past","simple",2,"no","no","generic"
"1016","cat","The cat chased the mouse.",2451,"animate","singular","definite","past","simple",3,"no","no","non.generic"
"1017","car","The car was parked in the drive.",2452,"inanimate","singular","definite","past","simple",5,"no","no","non.generic"
"1018","elephant","An elephant led the circus parade.",2455,"animate","singular","indefinite","past","simple",4,"no","no","non.generic"
"1019","butterfly","A butterfly flew by my nose.",2456,"animate","singular","indefinite","past","simple",4,"no","no","non.generic"
"1020","dolphin","The dolphins jumped out of the water.",2457,"animate","plural","definite","past","simple",5,"no","no","non.generic"
"1021","squirrel","Squirrels eat nuts.",2460,"animate","plural","indefinite","present","simple",2,"no","no","generic"
"1022","kangaroo","The kangaroo likes to jump.",2461,"animate","singular","definite","present","simple",3,"no","no","non.generic"
"1023","light bulb","A light bulb went out.",2463,"inanimate","singular","indefinite","past","simple",2,"no","no","non.generic"
"1024","toilet","The toilet would not flush.",2465,"inanimate","singular","definite","past","simple",3,"yes","no","non.generic"
"1025","cow","Cows give milk.",2467,"animate","plural","indefinite","present","simple",2,"no","no","generic"
"1026","peacock","The peacocks look beautiful.",2470,"animate","plural","definite","present","simple",2,"no","no","non.generic"
"1027","pigeon","The pigeon flew away.",2473,"animate","singular","definite","past","simple",2,"no","no","non.generic"
"1028","bear","The bears at the zoo seem playful.",2474,"animate","plural","definite","present","simple",5,"no","no","non.generic"
"1029","dog","The dogs barked all night. ",2477,"animate","plural","definite","past","simple",3,"no","no","non.generic"
"1030","bed","The bed was made. ",2478,"inanimate","singular","definite","past","simple",2,"no","no","non.generic"
"1031","shark","A shark was seen at the beach.",2479,"animate","singular","indefinite","past","simple",5,"no","no","non.generic"
"1032","skunk","A skunk was hit on the road. ",2480,"animate","singular","indefinite","past","simple",5,"no","no","non.generic"
"1033","rabbit","The rabbit ran away swiftly.",2481,"animate","singular","definite","past","simple",3,"no","no","non.generic"
"1034","tire","Tires can go flat.",2485,"inanimate","plural","indefinite","present","simple",3,"yes","no","generic"
"1035","penguin","The penguins played in their pen.",2487,"animate","plural","definite","past","simple",4,"no","no","non.generic"
"1036","fox","The fox ran into the barn.",2488,"animate","singular","definite","past","simple",4,"no","no","non.generic"
"1037","guitar","The guitars need to be tuned",2499,"inanimate","plural","definite","present","simple",4,"no","no","non.generic"
"1038","zipper","A zipper got stuck",2502,"inanimate","singular","indefinite","past","simple",2,"no","no","non.generic"
"1039","tire","Tires go flat",2507,"inanimate","plural","indefinite","present","simple",2,"no","no","generic"
"1040","piano","The pianos need to be tunes",2508,"inanimate","plural","definite","present","simple",4,"no","no","non.generic"
"1041","pig","The pig goes oink",2509,"animate","singular","definite","present","simple",2,"no","no","generic"
"1042","dog","The dog chased teh cat",2511,"animate","singular","definite","past","simple",3,"no","no","non.generic"
"1043","fox","A fox kills a rabbit",2512,"animate","singular","indefinite","present","simple",3,"no","no","non.generic"
"1044","owl","The owls are printed on my cup",2517,"animate","plural","definite","present","simple",5,"no","no","non.generic"
"1045","cow","The cow gives milk",2519,"animate","singular","definite","present","simple",2,"no","no","generic"
"1046","penguin","The penguins need cold",2520,"animate","plural","definite","present","simple",2,"no","no","generic"
"1047","television","A television costs more now",2522,"inanimate","singular","indefinite","present","simple",3,"no","no","generic"
"1048","boat","A boat floats ",2523,"inanimate","singular","indefinite","present","simple",1,"no","no","non.generic"
"1049","squirrel","Squirrels hoard nuts",2525,"animate","plural","indefinite","present","simple",2,"no","no","generic"
"1050","shark","The shark attacked the seal",2526,"animate","singular","definite","past","simple",3,"no","no","non.generic"
"1051","rabbit","The rabbits multiply too fast",2528,"animate","plural","definite","present","simple",3,"no","no","generic"
"1052","panda","The panda eats bamboo",2531,"animate","singular","definite","present","simple",2,"no","no","generic"
"1053","fence","Fences need mending",2532,"inanimate","plural","indefinite","present","simple",2,"no","no","non.generic"
"1054","turtle","The turtle walked slowly along the path.",2533,"animate","singular","definite","past","simple",5,"no","no","non.generic"
"1055","clock","Clocks always tell me the time.",2535,"inanimate","plural","indefinite","present","simple",5,"no","no","generic"
"1056","shark","The sharks swam frantically.",2540,"animate","plural","definite","past","simple",2,"no","no","non.generic"
"1057","elephant","The elephant performed his trick perfectly.",2542,"animate","singular","definite","past","simple",4,"no","no","non.generic"
"1058","panda","The pandas ate slowly and methodically. ",2546,"animate","plural","definite","past","simple",4,"no","no","non.generic"
"1059","pig","The pig rooted through this food.",2550,"animate","singular","definite","past","simple",4,"no","no","non.generic"
"1060","butterfly","Butterflies fly freely throughout the day.",2551,"animate","plural","indefinite","present","simple",5,"no","no","generic"
"1061","skunk","The skunk stank badly.",2552,"animate","singular","definite","present","simple",2,"no","no","non.generic"
"1062","trumpet","The trumpets sound at my coming.",2554,"inanimate","plural","definite","present","simple",4,"no","no","non.generic"
"1063","squirrel","The squirrel ran quickly.",2555,"animate","singular","definite","past","simple",2,"no","no","non.generic"
"1064","shirt","Shirts can express who you are.",2556,"inanimate","plural","indefinite","present","simple",5,"yes","no","generic"
"1065","kite","The kite flew high above us.",2559,"inanimate","singular","definite","past","simple",4,"no","no","non.generic"
"1066","fence","The fence surrounds our property.",2560,"inanimate","singular","definite","present","simple",3,"no","no","non.generic"
"1067","rabbit","The rabbit hopped cautiously along.",2562,"animate","singular","definite","past","simple",3,"no","no","non.generic"
"1068","marble","The marble glistened in the sunlight.",2563,"inanimate","singular","definite","past","simple",4,"no","no","non.generic"
"1069","cheetah","The cheetahs ran swiftly through the Savannah.",2566,"animate","plural","definite","past","simple",5,"no","no","non.generic"
"1070","knife","The knives need to be cleaned.",2570,"inanimate","plural","definite","present","simple",4,"no","no","non.generic"
"1071","cow","The cows came home early.",2572,"animate","plural","definite","past","simple",3,"no","no","non.generic"
"1072","piano","The pianos sat and gathered dust.",2578,"inanimate","plural","definite","past","simple",4,"no","no","non.generic"
"1073","pigeon","The pigeons like to be fed.",2580,"animate","plural","definite","present","simple",4,"no","no","generic"
"1074","guitar","The guitars made a loud strumming noise.",2634,"inanimate","plural","definite","past","simple",5,"no","no","non.generic"
"1075","clock","The clock stuck midnight.",2645,"inanimate","singular","definite","past","simple",2,"no","no","non.generic"
"1076","gorilla","The gorilla pounded his chest fiercely. ",2646,"animate","singular","definite","past","simple",4,"no","no","non.generic"
"1077","rabbit","The rabbits loved carrots.",2647,"animate","plural","definite","past","simple",2,"no","no","non.generic"
"1078","butterfly","A butterfly floats gently on the breeze.",2650,"animate","singular","indefinite","present","simple",5,"no","no","non.generic"
"1079","television","The televisions keep the people informed. ",2653,"inanimate","plural","definite","present","simple",4,"no","no","generic"
"1080","lion","The lion stalked it's prey.",2655,"animate","singular","definite","past","simple",3,"no","no","non.generic"
"1081","trumpet","A trumpet began the race.",2659,"inanimate","singular","indefinite","past","simple",3,"no","no","non.generic"
"1082","fence","The fences kept intruders out.",2667,"inanimate","plural","definite","past","simple",3,"no","no","non.generic"
"1083","owl","The owls hooted far too much.",2670,"animate","plural","definite","past","simple",4,"no","no","non.generic"
"1084","piano","The piano played smooth classical music. ",2673,"inanimate","singular","definite","past","simple",4,"no","no","non.generic"
"1085","turtle","The turtles sunned on the beach.",2679,"animate","plural","definite","past","simple",4,"no","no","non.generic"
"1086","gorilla","The gorilla ate a banana.",2682,"animate","singular","definite","past","simple",3,"no","no","non.generic"
"1087","camel","The camels stopped for water.",2683,"animate","plural","definite","past","simple",3,"no","no","non.generic"
"1088","penguin","The penguin lived in a cold climate.",2684,"animate","singular","definite","past","simple",5,"no","no","non.generic"
"1089","pigeon","Pigeons carried messages.",2685,"animate","plural","indefinite","past","simple",2,"no","no","generic"
"1090","couch","The couch was overstuffed.",2687,"inanimate","singular","definite","past","simple",2,"no","no","non.generic"
"1091","boat","The boats ran aground.",2688,"inanimate","plural","definite","past","simple",2,"no","no","non.generic"
"1092","skunk","A skunk crossed the road.",2689,"animate","singular","indefinite","past","simple",3,"no","no","non.generic"
"1093","trumpet","Trumpets announced the king's arrival.",2691,"inanimate","plural","indefinite","past","simple",4,"no","no","non.generic"
"1094","lion","Lions can kill zebras.",2692,"animate","plural","indefinite","present","simple",3,"yes","no","generic"
"1095","lamp","The lamp was lit each evening.",2695,"inanimate","singular","definite","past","simple",4,"no","no","non.generic"
"1096","bear","The bear ate some berries.",2698,"animate","singular","definite","past","simple",3,"no","no","non.generic"
"1097","light bulb","Light bulbs produce heat.",2699,"inanimate","plural","indefinite","present","simple",2,"no","no","generic"
"1098","elephant","The elephants bathed in the pond.",2700,"animate","plural","definite","past","simple",4,"no","no","non.generic"
"1099","panda","A panda likes to eat bamboo.",2701,"animate","singular","indefinite","present","simple",4,"no","no","generic"
"1100","butterfly","The butterfly spread its wings.",2705,"animate","singular","definite","past","simple",3,"no","no","non.generic"
"1101","piano","A piano needs to be periodically tuned.",2706,"inanimate","singular","indefinite","present","simple",5,"no","no","generic"
"1102","towel","The towel hung on the rack.",2708,"inanimate","singular","definite","past","simple",4,"no","no","non.generic"
"1103","toilet","The toilets were flushed.",2710,"inanimate","plural","definite","past","simple",2,"no","no","non.generic"
"1104","cat","A cat caught the mouse.",2711,"animate","singular","indefinite","past","simple",3,"no","no","non.generic"
"1105","fence","Fences were built to maintain property.",2712,"inanimate","plural","indefinite","past","simple",5,"no","no","non.generic"
"1106","cow","The cows were milked twice daily.",2714,"animate","plural","definite","past","simple",4,"no","no","non.generic"
"1107","pig","Pigs like to eat corn.",2717,"animate","plural","indefinite","present","simple",4,"no","no","generic"
"1108","fox","The fox chased the rabbit.",2718,"animate","singular","definite","past","simple",3,"no","no","non.generic"
"1109","clock","A clock stopped when the electricity failed.",2719,"inanimate","singular","indefinite","past","simple",5,"no","no","non.generic"
"1110","tire","The tires on the truck needed air.",2722,"inanimate","plural","definite","past","simple",5,"no","no","non.generic"
"1111","dog","Dogs eat cats",2728,"animate","plural","indefinite","present","simple",2,"no","no","generic"
"1112","boat","Boats should float",2730,"inanimate","plural","indefinite","present","simple",2,"yes","no","generic"
"1113","butterfly","The butterfly flew away",2732,"animate","singular","definite","past","simple",2,"no","no","non.generic"
"1114","couch","The couches were sold",2733,"inanimate","plural","definite","past","simple",2,"no","no","non.generic"
"1115","owl","The owl said Who",2738,"animate","singular","definite","past","simple",2,"no","no","non.generic"
"1116","fox","A fox can live outside",2739,"animate","singular","indefinite","present","simple",3,"yes","no","generic"
"1117","clock","Clocks go back soon",2740,"inanimate","plural","indefinite","present","simple",3,"no","no","generic"
"1118","shark","The shark ate her leg",2742,"animate","singular","definite","past","simple",3,"no","no","non.generic"
"1119","lion","The lions ate all the smaller animals",2743,"animate","plural","definite","past","simple",5,"no","no","non.generic"
"1120","skunk","The skunk stank up the house",2744,"animate","singular","definite","present","simple",4,"no","no","non.generic"
"1121","zipper","Zippers always break",2745,"inanimate","plural","indefinite","present","simple",2,"no","no","non.generic"
"1122","cow","The cows give milk",2746,"animate","plural","definite","present","simple",2,"no","no","non.generic"
"1123","rabbit","A rabbit eats carrots",2747,"animate","singular","indefinite","present","simple",2,"no","no","generic"
"1124","pigeon","A pigeon carries letters",2753,"animate","singular","indefinite","present","simple",2,"no","no","non.generic"
"1125","cat","Cats are used in Chinese cuisine",2754,"animate","plural","indefinite","present","simple",5,"no","no","generic"
"1126","kite","The kite flew high",2756,"inanimate","singular","definite","past","simple",2,"no","no","non.generic"
"1127","penguin","The penguins wobbled home",2761,"animate","plural","definite","past","simple",2,"no","no","non.generic"
"1128","car","A car goes varoom",2766,"inanimate","singular","indefinite","present","simple",2,"no","no","generic"
"1129","light bulb","Light bulbs screw into light sockets",2767,"inanimate","plural","indefinite","present","simple",4,"no","no","generic"
"1130","squirrel","A squirrel eats nuts",2768,"animate","singular","indefinite","present","simple",2,"no","no","generic"
"1131","panda","The pandas come from China.",2777,"animate","plural","definite","present","simple",3,"no","no","non.generic"
"1132","marble","Marbles come in all different colors.",2779,"inanimate","plural","indefinite","present","simple",5,"no","no","generic"
"1133","football","The football was signed by Joe Namath.",2780,"inanimate","singular","definite","past","simple",5,"no","no","non.generic"
"1134","cow","A cow supplies milk for us.",2783,"animate","singular","indefinite","present","simple",4,"no","no","non.generic"
"1135","tire","The tires are made of rubber.",2789,"inanimate","plural","definite","present","simple",4,"no","no","non.generic"
"1136","pigeon","Pigeons are settled in the coop.",2793,"animate","plural","indefinite","present","simple",5,"no","no","non.generic"
"1137","rabbit","Rabbits multiply very quickly.",2799,"animate","plural","indefinite","present","simple",3,"no","no","generic"
"1138","bed","The beds were covered in colorful quilts.",2800,"inanimate","plural","definite","past","simple",5,"no","no","non.generic"
"1139","zipper","Zippers can be loosened with soap.",2804,"inanimate","plural","indefinite","present","simple",5,"yes","no","generic"
"1140","butterfly","The butterfly comes out of it's coccoon.",2809,"animate","singular","definite","present","simple",5,"no","no","generic"
"1141","dolphin","The dolphins leaped out of the water.",2817,"animate","plural","definite","past","simple",5,"no","no","non.generic"
"1142","boat","Boats sailed through the bay.",2818,"inanimate","plural","indefinite","past","simple",4,"no","no","non.generic"
"1143","panda","A panda looks very cuddly.",2819,"animate","singular","indefinite","present","simple",3,"no","no","generic"
"1144","fox","The fox ran quickly into the woods.",2820,"animate","singular","definite","past","simple",5,"no","no","non.generic"
"1145","rabbit","The rabbit hopped quickly across the grass.",2823,"animate","singular","definite","past","simple",5,"no","no","non.generic"
"1146","shark","The sharks swam quickly through the water.",2824,"animate","plural","definite","past","simple",5,"no","no","non.generic"
"1147","cheetah","The cheetahs ran through the jungle.",2827,"animate","plural","definite","past","simple",4,"no","no","non.generic"
"1148","knife","The knife cut through the steak easily.",2833,"inanimate","singular","definite","past","simple",5,"no","no","non.generic"
"1149","kangaroo","The kangaroo hopped through the outback.",2836,"animate","singular","definite","past","simple",4,"no","no","non.generic"
"1150","fence","The fences surrounded the tall, dismal house.",2837,"inanimate","plural","definite","past","simple",5,"no","no","non.generic"
"1151","kite","The kites flew high above our heads.",2839,"inanimate","plural","definite","past","simple",5,"no","no","non.generic"
"1152","penguin","A penguin waddled slowly near the shore.",2840,"animate","singular","indefinite","past","simple",5,"no","no","non.generic"
"1153","bear","Bears live in the woods.",2841,"animate","plural","indefinite","present","simple",4,"no","no","generic"
"1154","cow","A cow mooed loudly.",2843,"animate","singular","indefinite","past","simple",2,"no","no","non.generic"
"1155","cat","The cat stretched out on the floor.",2844,"animate","singular","definite","past","simple",5,"no","no","non.generic"
"1156","light bulb","The light bulbs crashed to the floor.",2845,"inanimate","plural","definite","past","simple",4,"no","no","non.generic"
"1157","butterfly","A butterfly flitted by my head.",2847,"animate","singular","indefinite","past","simple",4,"no","no","non.generic"
"1158","bicycle","The bicycle needed new tires.",2848,"inanimate","singular","definite","past","simple",3,"no","no","non.generic"
"1159","towel","The towels needed to be washed.",2849,"inanimate","plural","definite","past","simple",4,"no","no","non.generic"
"1160","zipper","The zipper was stuck.",2850,"inanimate","singular","definite","past","simple",2,"no","no","non.generic"
"1161","gorilla","The gorilla pounded on its hairy chest.",2854,"animate","singular","definite","past","simple",5,"no","no","non.generic"
"1162","turtle","The turtles slowly crawled across the sand.",2855,"animate","plural","definite","past","simple",5,"no","no","non.generic"
"1163","elephant","The elephants rolled around in the mud.",2856,"animate","plural","definite","past","simple",5,"no","no","non.generic"
"1164","owl","The owl swooped down after the mouse.",2858,"animate","singular","definite","past","simple",5,"no","no","non.generic"
"1165","car","Cars sat in traffic for hours.",2859,"inanimate","plural","indefinite","past","simple",5,"no","no","non.generic"
"1166","toilet","A toilet requires weekly cleaning.",2860,"inanimate","singular","indefinite","present","simple",3,"no","no","generic"
"1167","lamp","Lamps are needed in dark places.",2861,"inanimate","plural","indefinite","present","simple",5,"no","no","generic"
"1168","toilet","The toilets are broken.",2864,"inanimate","plural","definite","present","simple",2,"no","no","non.generic"
"1169","bear","Bears love beats.",2869,"animate","plural","indefinite","present","simple",2,"no","no","generic"
"1170","cow","The cows go moo.",2870,"animate","plural","definite","present","simple",2,"no","no","generic"
"1171","clock","A clock tells time",2874,"inanimate","singular","indefinite","present","simple",2,"no","no","generic"
"1172","chair","A chair is used to sit in.",2880,"inanimate","singular","indefinite","present","simple",5,"no","no","generic"
"1173","zipper","A zipper can get stuck",2883,"inanimate","singular","indefinite","present","simple",3,"yes","no","generic"
