WorkerId,SubmitTime,Answer 56,animacy,number,definiteness,tense,subject,sentence,response,rt,question_number,type,aspect,modal,be_have,sentence_id,sentence_length,original_response
2PBELLBXR6X6RFK8KI1OMSMOY4VSJ3,Wed Jan 20 13:34:11 PST 2016,"""english""",animate,plural,indefinite,present,turtle,Turtles are good in soup,2,671,27,target,simple,no,yes,2748,4,generic
VLN6AQBEFBFN2NWXK8OUVB2HPH3ZZ3,Wed Jan 20 13:34:11 PST 2016,"""english""",animate,plural,indefinite,past,penguin,Penguins dipped and dived into the cold water.,1,805,26,target,simple,no,no,1966,7,generic
H07XLTDLTQPZZGHLJV6QEXW9GZALXH,Wed Jan 20 13:34:11 PST 2016,"""english""",animate,singular,definite,present,camel,The camel stores water in its hump,2,659,21,target,simple,no,no,1071,5,generic
RDDUFZXBGKBKLM5RIB49TLENXYOXNX,Wed Jan 20 13:34:11 PST 2016,"""english""",animate,singular,definite,present,panda,The panda eats bamboo everyday,2,672,20,target,simple,no,no,322,3,non.generic
FLJUCOBWRJ8XTRA1V8SNEBJM43OEFO,Wed Jan 20 13:34:11 PST 2016,"""english""",inanimate,singular,definite,past,clock,The clock chimed at midnight and woke everyone up. ,1,649,23,target,simple,no,no,3938,7,non.generic
5TP8RQA3W4TAK0VGGKDRURSJBH7AT4,Wed Jan 20 13:34:11 PST 2016,"""english""",inanimate,singular,indefinite,past,marble,A marble rolled away on the floor,2,706,22,target,simple,no,no,1116,5,non.generic
TTO4HRRWPVCBT2ITGYLVWWNB3O1SXC,Wed Jan 20 13:34:11 PST 2016,"""english""",animate,singular,definite,past,pigeon,The pigeon flew to the roof of the building,2,776,47,target,simple,no,no,1074,7,non.generic
TZC7ZY17A5YBZ8VSCQ1TYH946S9AG1,Wed Jan 20 13:34:11 PST 2016,"""english""",inanimate,plural,definite,present,chair,The chairs are at the table.,1,1154,46,target,simple,no,yes,3912,4,non.generic
IRJYJTJFFFWMFTTWUHK88UZFO0HGX5,Wed Jan 20 13:34:11 PST 2016,"""english""",animate,singular,definite,present,skunk,The skunk smells really bad,2,801,45,target,simple,no,no,3665,3,non.generic
UDZOKN9HORFR99OGO1NKJR4JZ5C1HC,Wed Jan 20 13:34:11 PST 2016,"""english""",animate,singular,definite,past,butterfly,The butterfly enjoyed the pollens of various floweres in the special garden planted to attract butterflies.,1,919,44,target,simple,no,no,237,14,non.generic
